ts	phase	decision	why	evidence	result
2026-09-16T12:20:10Z	frame	App id is dashboard_links under AGPL-3.0-or-later	Store forbids Nextcloud in the name and wants SPDX AGPL for OCP apps	https://docs.nextcloud.com/server/stable/developer_manual/app_publishing_maintenance/publishing.html	open
2026-09-16T12:20:10Z	frame	Target Nextcloud 33 to 35 with max-version set	Live store XSD requires max-version. NC 32 is at EOL. Latest stable is 34. 35 is RC.	https://apps.nextcloud.com/schema/apps/info.xsd	open
2026-09-16T12:20:10Z	how	Use IAPIWidgetV2 and IAppConfig. Do not fork External sites.	Marketplace explorer. Official external app has no dashboard widget. Optional reuse is a runtime IAppManager check.	subagent 2f6d465b-4c5a-4c0c-9245-33f57c4df07c	open
2026-09-16T12:20:10Z	how	info.xml category is dashboard. Validate against the store XSD not the server copy.	Store and server XSDs disagree on licence enums. Official lint-info-xml.yml wget's the appstore XSD.	https://raw.githubusercontent.com/nextcloud/.github/master/workflow-templates/lint-info-xml.yml	open
2026-09-16T12:20:10Z	how	Ship CHANGELOG.md plus CHANGELOG.en.md and two signatures	Store parses Keep a Changelog. User update notices need CHANGELOG.en.md since NC 29. Store wants archive SHA-512 plus occ integrity:sign-app.	https://nextcloudappstore.readthedocs.io/en/latest/developer.html	open
2026-09-16T12:20:41Z	how	Own catalog in IAppConfig. Optional import only via External sites OCS v1.	Official external app has no widget, no OCC, no events, no tables. Sites are JSON keys sites and max_site. OCA\External is private.	https://github.com/nextcloud/external	open
2026-09-16T12:20:41Z	how	iframe means link to /apps/external/{id}/ or our own embed page. redirect means the external URL.	redirect is a nav href flag, not a server redirect. SiteController always iframes if you hit the route.	subagent d02e14d9-3d3f-4ad0-8b6e-4b80d0908887	open
2026-09-16T12:20:41Z	how	Do not clone externalportal and do not write into the external sites key.	Marketplace allows only public OCP. info.xml cannot require another app. IAppManager plus capability external.v1 is the discover path.	https://github.com/puavo-org/externalportal	open
2026-09-16T12:20:41Z	how	Widget getOrder stays in 10 to 100.	Dashboard docs reserve 0 to 9 for shipped apps. externalportal uses 0 against that rule.	https://docs.nextcloud.com/server/stable/developer_manual/digging_deeper/dashboard.html	open
2026-09-16T12:21:07Z	how	Register the widget only in IBootstrap. Leave load empty.	info.xml dashboard widgets are not applied by AppManager. RegisterWidgetEvent is gone since NC 29.	https://docs.nextcloud.com/server/latest/developer_manual/app_development/bootstrap.html	open
2026-09-16T12:21:07Z	how	Set namespace in info.xml. Widget id is dashboard_links. Order 20.	Without namespace, my_links becomes OCA\My_links. Widget ids are global. 0 to 9 are reserved.	subagent d959683e-d8b2-4eba-a8f2-a7950caf7239	open
2026-09-16T12:21:08Z	how	Web dashboard shows 7 items. More goes through TYPE_MORE. New tiles stay in Customize until enabled.	GET widget-items without limit defaults to 7. Enabling the app does not add the tile to the user layout.	https://github.com/nextcloud/server/blob/master/apps/dashboard/src/DashboardApp.vue	open
2026-09-16T12:21:08Z	how	PHP 8.2 minimum for Nextcloud 33 to 35.	NC 33 and 34 need PHP 8.2 to 8.5. NC 35 needs 8.3 to 8.5. Intersection for 33 plus is 8.2 if we also ship 33.	https://github.com/nextcloud/server/wiki/Releases-and-PHP-versions	open
2026-09-16T12:22:24Z	how	Copy external for Marketplace skeleton. Copy user_status for the widget. Copy recommendations for Unit tests.	external has no widget and almost no tests. recommendations ships default_enable which the store rejects.	subagent f466149b-2fa0-4cff-8544-dd8dd89b68f8	open
2026-09-16T12:22:24Z	how	Admin UI is Vue 3 plus @nextcloud/vue 9 plus Vite 7. No dashboard JS.	IAPIWidgetV2 renders from OCS. Official small apps have no Jest. CSRF stays on mutating OCS.	https://github.com/nextcloud/external/blob/master/package.json	open
2026-09-16T12:29:06Z	how	How explanation written. Architect arena starts.	Four explorers plus explainer agree on IAPIWidgetV2, own IAppConfig catalog, OCS-only external import, store XSD.	/Users/andrewiesehoff/nc-dashboard-links/.audit/how-explanation.md	open
2026-09-16T12:33:38Z	architect	Candidate 3 treats importance as three catalog lanes	Dragging between Featured Company and Reference is the importance change. Import merges by href into Company without demoting.	.audit/arena/candidate-3/rationale.md	open
2026-09-16T12:40:47Z	architect	Candidate 4 uses a content-hash revision and no client sort field	Replay of an identical catalog is 200. A stale create is 412. LinkPresenter owns every URL and subtitle.	.audit/arena/candidate-4/rationale.md	open
2026-09-16T12:42:09Z	architect	Candidate 1 is client-minted UUIDs, hash revision, no sort field, zero PHP import	CatalogStore has current and replace. /open/{id} serves both modes so bookmarks survive a mode change.	.audit/arena/candidate-1/rationale.md	open
2026-09-16T12:50:03Z	architect	Picked candidate-1 as base. Grafted presenter, split codecs, lane-keyed PUT	Judge and parent agreed. candidate-4 presentation is additive. candidate-4 store is not.	.audit/arena/SYNTHESIS.md	open
2026-09-16T13:00:00Z	verify	Unit 1 verified by parent	composer test 10/10 22 assertions. xmllint store XSD ok. php -l clean. Catalog::parse lanes + hash revisions e4da948788ba / 014e5c5dc94f.	composer test	open
2026-09-16T13:00:00Z	implement	Start unit 2 HTTP on CatalogStore	Widget pages OCS Icons. DESIGN: both open modes go through /open/{id}. PUT is lane envelope. CatalogStore remains the only writer.	.audit/arena/DESIGN.md	open
2026-09-16T13:00:00Z	implement	CI and docs fan out without touching lib	CHANGELOG pair, README, GitHub workflows. Vue waits on OCS envelope.	.audit/arena/DESIGN.md	open
2026-09-16T13:06:00Z	verify	CI and Marketplace docs verified by parent	Lane PUT in README. Changelogs identical. Four self-contained workflows. composer test still 10/10. lib/ untouched.	README.md CHANGELOG.md .github/workflows	open
2026-09-16T13:08:00Z	verify	Unit 2 HTTP verified by parent	composer test 25/25 56 assertions. cs:check clean. openUrl is /open/{id} for both modes. PUT is three lanes. CatalogTest still 10.	composer test	open
